661-5878,R130324101,"SVC,IPAD 2,WIFI,64GB,BLACK"
661-5879,R130346016,"SVC,IPAD 2,WIFI,16GB,WHITE"
661-5879,R130350912,"SVC,IPAD 2,WIFI,16GB,WHITE"
661-5879,R130350515,"SVC,IPAD 2,WIFI,16GB,WHITE"
661-6415,R130366707,"IPAD,WIFI,32GB,3RD GEN,BLACK"
661-6426,R130367771,"IPAD,WIFI 4G,16GB,3RD GEN,BLACK"
661-6428,R130325899,"IPAD,WIFI 4G,64GB,3RD GEN,BLACK"
661-6980,R130365372,"IPAD,WIFI,CELLULAR,32GB,4TH GEN,WHT"
661-6990,R130347393,"IPAD,MINI,WIFI,32GB,BLACK"
661-6990,R130364277,"IPAD,MINI,WIFI,32GB,BLACK"
661-6992,R130349351,"IPAD,MINI,WIFI,16GB,WHITE"
661-6992,R130358265,"IPAD,MINI,WIFI,16GB,WHITE"
661-6992,R130361949,"IPAD,MINI,WIFI,16GB,WHITE"
661-7002,R130364064,"IPAD,MINI,WIFI,CELL,64GB,BLACK,MM"
661-8169,R129960949,"IPAD AIR,WIFI,64GB,GRAY"
661-8173,R130327231,"IPAD AIR,WIFI,64GB,WHITE"
661-8178,R130364148,"IPAD AIR,CELL,128GB,GRAY"
661-8276,R130346277,"IPAD,MINI,WIFI,16GB,GRAY"
661-8317,R130344653,"IPAD,MINI,RETINA,WIFI,16GB,WHITE"
661-8438,R130353803,"IPAD,MINI,RETINA,CELL,32GB,WHITE"
